Team,Week 15,Week 16,Week 17,Week 17 Implied Total
SF,LAR,MIA,DET,28.5
LAR,SF,NYJ,ARI,26.75
CIN,TEN,CLE,DEN,26.5
JAX,NYJ,LV,TEN,25.25
PHI,PIT,WSH,DAL,25
ATL,LV,NYG,WAS,24.25
BAL,NYG,PIT,HOU,24
CHI,MIN,DET,SEA,24
GB,SEA,NO,MIN,24
TB,LAC,DAL,CAR,23.75
BUF,DET,NE,NYJ,23.5
KC,CLE,HOU,PIT,23.5
DET,BUF,CHI,SF,23
CLE,KC,CIN,MIA,22.75
DAL,CAR,TB,PHI,22.5
HOU,MIA,KC,BAL,22.5
IND,DEN,TEN,NYG,22.5
NO,WSH,GB,LV,22.25
ARI,NE,CAR,LAR,21.75
WAS,NO,PHI,ATL,21.75
LAC,TB,DEN,NE,21.5
MIN,CHI,SEA,GB,21.5
NYG,BAL,ATL,IND,21
NYJ,JAX,LAR,BUF,21
MIA,HOU,SF,CLE,20.75
TEN,CIN,IND,JAX,20.75
SEA,GB,MIN,CHI,20.5
LV,ATL,JAX,NO,20.25
NE,ARI,BUF,LAC,19
PIT,PHI,BAL,KC,19
CAR,DAL,ARI,TB,18.75
DEN,IND,LAC,CIN,18
